项目编号,主体,关系,客体
196,彝族人民,活动方式二,在彝 族土掌房上打跳中 进行
197,曲靖蒸 饵丝,是,曲靖 人民不可或缺的早餐之一
197,曲靖蒸饵 丝,是,云南人民 喜爱的特色美食
197,杨慎,赞不绝口,蒸饵丝
197,杨慎,连吃,三碗
197,曲靖蒸饵丝,主要 食材,筒子饵块
197,筒子饵块,由...制成,优质 粳米
197,优质 粳米,产地,曲 靖沿江、珠街及麒麟 区等地
197,筒 子饵块,制作过程,蒸熟置于碓窝中舂 制
197,筒子 饵块,处理方式,用凉水浸泡一夜后切成细 丝
197,曲 靖蒸饵丝,配料包括,肉酱
197,曲靖蒸饵丝,配料包括,卤水
197,曲靖蒸 饵丝,配料包括,酸菜
197,曲靖蒸饵丝,配料 包括,韭菜
197,曲靖蒸饵丝,配料包括,油辣椒
197,曲靖蒸 饵丝,配料包括,花椒
197,曲 靖蒸饵丝,配料包括,菜籽油
197,曲靖蒸饵丝,配料包括,红皮 大蒜
197,蒸 笼材质要求,不含金属的 全竹) 19. ( 蒸制方法,采用猛火 将饵丝蒸透
197,最佳口感标准,软硬适中有嚼头) 21. (食用方式,加上各种配料拌匀
197,搭配饮品,撒有 葱花的筒子骨汤) 23. (曲靖蒸饵 丝烹制技艺,"入选, 云南省第四批省级非物质文化遗产 代表性项目名录"
198,双江县 拉祜族葫芦 笙舞,伴奏 乐器,五管芦 笙
198,双江县拉祜族葫芦 笙舞,辅助乐器,箫
198,双江县拉祜族葫芦笙 舞,辅助乐器,牛 腿琴
198,双江县拉祜族葫芦 笙舞,辅助乐器,小三弦
198,双江县拉祜族葫芦 笙舞,音乐节奏,四分之二拍
198,双江县拉祜 族葫芦笙舞,舞步特征,踏
198,双江县拉祜族 葫芦笙舞,舞步特征,蹉
198,双江县拉祜族葫芦 笙舞,舞步特征,跺
198,双江县拉祜族葫芦笙 舞,舞步特征,抬
198,双江县拉祜族葫芦笙 舞,舞步特征,跳
198,双江县拉祜族葫芦笙 舞,舞步特征,转
198,双江县拉祜族葫芦笙 舞,主要动作特点,下蹲
198,双江县拉祜族 葫芦笙舞,主要动作特点,转身
198,双江县拉祜 族葫芦笙舞,主要动作 特点,下肢动作变化
198,双江 县拉祜族葫芦笙舞,舞蹈形式,群舞
198,双 江县拉祜族葫芦笙舞,领舞角色,打 歌师傅
198,双江县拉祜族 葫芦笙舞,表演时间,晚上
198,双江县拉祜族 葫芦笙舞,内容分类,农业生产劳动类舞蹈
198,双江县 拉祜族葫芦笙舞,内容分类,日常生活性舞蹈
198,双 江县拉祜族葫芦笙舞,内容分类,娱乐性 舞蹈
198,双江县拉祜族葫芦 笙舞,内容分类,飞禽走兽类舞蹈
198,双江 县拉祜族葫芦笙舞,内容分类,人情世故 类舞蹈
198,双江县拉祜族 葫芦笙舞,内容分类,非农业生产劳动类舞蹈
198,《三 脚歌》,别称,芦笙舞的母歌
198,《 大路歌》,关联主题,游牧游猎
198,《找 树歌》,关联主题,游牧游猎
198,《箐鸡 摆尾歌》,关联主题,游牧游猎
198,《挖 地歌》,关联主题,迁徙农业
198,《栽秧歌》,关联主题,迁徙农业
198,《敬你歌》,关联 主题,人情世故
198,双江 县拉祜族葫芦笙舞,起始曲目,《三脚歌 》
198,双江县拉祜族葫芦 笙舞,结束曲目,《 大路歌》
198,双江县拉 祜族葫芦笙舞,入选 名录,云南省第一批省级非物质 文化遗产保护名录
198,双江县拉祜 族葫芦笙舞,代表性传承 人,毕玉明
199,老滔村,名称来源,位于箐尾
199,老 滔村,有习俗,赶鸟
199,赶鸟习俗,起源时间,无法追溯
199,中国古代,重视的动物,鸡
199,鸡,称号,五德之禽
199,人们,过年 时活动,剪鸡
199,人们,过年时 活动,贴画鸡
199,新年首日,定为,鸡日
199,赶鸟式炼油渣,举行时间,每年正月 初一的第一天
199,老滔村赶鸟,组织者,当地群众
199,老滔村赶 鸟,举行时间,大 年三十
199,老滔村赶鸟,举行 时间,正月初一
199,大年三十,祭祀对象,山神
199,大年三十,祭祀对象,树神
199,大年三十,祭祀对象,土主
199,毕摩,在树神前为村民们 举行,祭祀
199,大年初一,活动,家家贴红对联
199,大年初 一,活动,燃放 爆竹
199,大年初一,活动,在香火堂前摆上贡 品
199,大 年初一,活动,煮 汤圆
199,大年初一,活动,吃汤圆
199,村民,扎一个鸟并用 细绳拴在长杆上,走亲串寨道喜问 好驱赶百鸟
199,孩子们,到每家 时大声叫,挖污（ 彝语意为吉祥）
199,孩子们,在贡 桌前行为,磕头
199,孩子们,行为后结果,拿走贡品
199,专人,行为,背着篮子集中贡 品
199,专人,行为,把每家每 户的贡肉背到油渣 山
199,全村 男女老幼,聚集地点,油渣山
199,全村男女老幼,活动,唱调子
199,全村男女老幼,活动,打扑克
199,全村男女老 幼,活动,下棋
199,毕摩,举行仪式,祭树 神仪式
199,祭树神仪式,用品,一块较大的肉放到树上祭鸟
199,油渣,炼出后处理方式,分给各家各户
199,剩余的油,送给对象,本村的 孤寡老人和困难户
199,赶鸟习俗,作用,增强民族的凝聚力
199,赶鸟 习俗,作用,营造家庭的 和睦氛围
199,赶鸟习俗,体现品德,民族团结
199,赶鸟习俗,体现品德,邻里和睦
199,赶鸟习俗,体现品德,社会和谐
199,赶鸟习俗,体现 品德,尊老爱幼
199,赶鸟习俗,体现品德,团结互助
199,赶鸟 习俗,表达价值取向,人们对美好生活长久向往
199,老滔村赶鸟习俗,入选项目,云南省第三 批省级非物质文化遗产代表性项目名录
200,《哈尼 阿培聪坡 坡》,汉语 意,哈尼族 先祖的迁徙
200,《哈尼阿培聪 坡坡》,流传地区,元江县哈尼族村 寨
200,《哈 尼阿培聪坡坡》,形式类型,口述民间 叙事长诗
200,哈尼族,文字情况,没有文字
200,《哈尼阿培聪坡坡 》,演唱者,哈 尼摩批和民间歌手
200,《哈尼阿培 聪坡坡》,使用调 式,哈尼哈吧古老 歌唱调式
200,《哈尼阿培聪坡坡 》,组成部分,歌头
200,《哈尼 阿培聪坡坡》,章节之一,《远古的虎尼 虎那高山》
200,《哈尼阿培聪坡 坡》,章节之一,《 从什虽湖到嘎鲁嘎 则》
200,《哈尼阿培聪坡坡 》,章节之一,《惹 罗普楚》
200,《哈尼阿培聪 坡坡》,章节之一,《好地诺玛阿美》
200,《哈 尼阿培聪坡坡》,章节之一,《色厄作 娘》
200,《哈尼阿培聪坡坡 》,章节之一,《谷 哈密查》
200,《哈尼阿培聪 坡坡》,章节之一,《森林密密的红河南岸 》
200,《 哈尼阿培聪坡坡》,记述内容,哈尼 族诞生、发展到一路迁徙直至今日 所居之地的路线、历程
200,《哈尼 阿培聪坡坡》,记述内容,迁徙途中的地理 地貌
200,《 哈尼阿培聪坡坡》,记述内容,生产生活
200,《哈 尼阿培聪坡坡》,记述内容,社会状况
200,《哈尼 阿培聪坡坡》,记述内容,与其他民族的关系
200,《森林密 密的红河南岸》,讲述内容,哈尼族南 渡红河之后的第一站并与傣 族和谐相处但因地理、气候 等原因不畏艰辛走进高山密林开 垦了举世闻名的哈尼梯 田繁衍生息的故事
200,《哈尼阿培 聪坡坡》,价值领域,文学价值
200,《哈尼阿培聪 坡坡》,价值领域,历史学价值
200,《哈尼阿培聪 坡坡》,价值领域,社会学价值
200,《哈尼阿培聪坡 坡》,价值领域,宗教学价值
200,《哈尼阿培聪坡 坡》,入选项目,云南省第三批省级非物质文化遗产代表性 项目名录
200,《哈尼阿培聪坡坡 》,代表性传承人,马建昌
200,《哈尼阿培聪坡 坡》,代表性传承人,李有亮
201,云南大理漾 濞县龙潭 乡,居住民族,苗族
201,苗族 妇女,创造,苗族 刺绣
201,苗族刺绣,使用材料,彩色丝线
201,苗族刺绣,使用工具,缝衣针
201,苗族 刺绣,载体布料,细 麻布
201,苗族刺绣,风格特点,分块刺绣
201,苗族刺绣,风格特点,色彩对比鲜明
201,苗 族刺绣,包含元素,民族特有符号
201,苗族男女服饰构件,包括,帽子
201,苗族男女 服饰构件,包括,围裙
201,苗族男女服饰构件,包括,飘带
201,苗族男女服饰构件,包括,上衣
201,苗族男女 服饰构件,包括,裙子
201,苗 族男女服饰构件,包括,霞帔
201,苗族男女服饰构件,包括,鞋子
201,男性大襟长 裳,袖口镶绣图案,黑白杂花
201,男性大襟 长裳,袖口镶绣 图案,蓝花
201,男性大襟 长裳,袖口镶绣 图案,黄花
201,女性围裙,底色材质,黑色棉 布
201,女性围裙,底色 材质,蓝色棉布
201,女性围 裙,绣制图案类型,花卉图案
201,老年服饰,装饰 方式,绣花飘带缠 帽
201,纯手工全绣苗族盛 装礼服,代表技艺水平,高超
201,纯手工全绣苗 族盛装礼服,穿着场合,新婚
201,纯手工全绣苗 族盛装礼服,穿着场合,丧仪
201,纯手工全绣 苗族盛装礼服,穿着 场合,祭祀活动
201,离世时 着装规定,必须穿着,盛装
201,离世时着装 规定,入殓要求,着盛装
201,龙潭苗族刺绣 工艺,特点,图案精美
201,龙潭苗族刺绣工艺,特点,针法独特
201,全套手工 男女刺绣服装构成部件,表现形式,不同
201,制作技艺,特性 描述,繁琐
201,漾濞苗族 刺绣,入选项目名录,云南省第四批省级非物质文化遗产代表性 项目名录扩展项目名录
201,李菊香,身份,项目代表性传承 人
201,吴玉清,身份,项目代表性传承人
202,丘北县,拥有,彝族弦子 舞
202,弦子,别称,月琴
202,弦子舞,核心和灵魂,弦子
202,右手奏法,包括,弹、挑、滚、撮、 扫滚
202,左手 技法,包括,按、颤 、滑、吟
202,弦子舞步法,包括,一步弦、两跺脚、 慢三步、抖抖弦、蹲 蹲调、蜜蜂采花调、 老牛擦痒、狗舂碓 、苍蝇搓脚
202,队形,包括,圆形 、直排、横排、内 八字、串花
202,男子,负责,弹奏 弦子
202,女子,动作,双手叉腰 或拍掌
202,固定的动作套路,伴随,固定的曲调
202,曲调特点,以 、拍居多) 12. (曲调特征,短小 精悍、节奏整齐、旋律优美
202,弦子 舞,通常由,一 男一女对跳
202,对跳形式,俗称,搭子
202,搭子数量,不限) 16. (《 一步弦》《两步弦》《三步弦 》舞曲,"可随意弹奏 随意起舞, 民间俗称无 根调"
202,黑彝支系,特点,步伐和套路最多弦子独 舞技巧性高难度大
202,撒尼人弦 子舞,风格,幽默 诙谐热烈欢快
202,仆拉支系弦子 舞,特色,拉手 动作和跺脚动作妙趣横 生
202,跳 弦子舞时,多为,两人一对
202,辅助伴奏乐器,包括,三眼巴乌和木叶
202,僰人支 系弦子舞,队形 多为,圆形和两个直排
202,僰人 支系拍掌动作,多 用,竹笛、二胡 、木叶、人声等烘 托气氛
202,年丘北县弦子舞,入选,云南省第三批省级 非物质文化遗产代表性项目名录扩展项目 名录
202,项目 代表性传承人,包括,杨 树良、张海云
203,尹武刺绣,发祥 时期,古堂 琅时期
203,尹武刺绣,成熟时间,清雍正年间 改土归流后
203,尹武刺绣,分布地区,昭通市 巧家县老店镇尹武 地区
203,尹武刺绣,用途,女性服饰
203,尹武刺绣,包括品类,服饰
203,尹武刺绣,包括品类,鞋帽
203,尹武刺绣,包括品类,围腰
203,尹武刺绣,包括 品类,背带
203,尹武刺绣,包括品类,枕头
203,尹武刺绣,主色调,红
203,尹 武刺绣,主色调,白
203,尹武刺绣,主色调,黑
203,尹武刺绣,主色调,黄
203,尹武刺绣,造型特点,接近美术 画
203,尹武刺绣,图案特征,左右对称
203,尹武刺绣,主要内容,花草
203,尹武刺绣,辅助内容,虫鱼 鸟兽
203,尹武刺绣,文化 符号寓意,消灾纳福
203,尹武刺绣,文化符号寓意,爱情美满
203,尹武刺绣,文化符号寓意,多子 多福
203,尹武刺绣,象征 花卉,梅花
203,尹武刺绣,象征花卉,牡丹
203,尹武 刺绣,象征动物,喜 鹊
203,尹武刺绣,象征动物,凤凰
203,儿童虎头帽,展示图腾崇拜,虎
203,尹武刺绣,融合文化元素,汉族
203,尹武刺绣,融合文化元素,彝族
203,尹 武刺绣,风格特点,细密圆润
203,尹武刺绣,色彩特点,灵秀华美
203,尹武刺绣,承载内涵,民间文化
203,尹武刺绣,反映内容,独特审美观
203,尹 武刺绣,研究价值领域,民间信仰
203,尹武刺绣,研究价值领域,人生礼俗
203,尹武刺绣,研究价值领域,民众心理
203,尹武刺绣,研究价值领域,民族美术
203,尹武刺绣,入选名录,云南省第四批省级非物质文化遗产 代表性项目名录
203,尹武刺绣,代表性传承人,刘买翠
204,阿昌族,掌握,织锦技艺
204,阿昌 族纺织技艺流程,包括,捻线
204,阿昌族纺织技艺流程,包括,纺线
204,阿昌族纺织技艺流程,包括,染线
204,阿昌族纺织技艺流程,包括,打线
204,阿昌族纺织技艺 流程,包括,经线
204,阿昌族纺织 技艺流程,包括,织布
204,阿昌族,传统,种棉花
204,阿昌族,传统,养蚕
204,织工们,捻出,棉线
204,织工们,捻出,丝线
204,棉线 /丝线,经由,纺车
204,纺车,纺成,线团
204,线团,放入,染 缸
204,染 缸,进行,反复浸泡 上色
204,染好的线,绕在,纺线筒
204,需要的线筒,插 在,织机
204,线头,绕 在,经杆
204,控制织机,织出,花样纹饰的 织锦
204,阿昌族织锦,用于,筒裙
204,阿昌族织锦,用于,挂膀
204,阿昌族织 锦,用于,花腰带
204,阿昌 族织锦,用于,绑腿
204,阿昌族织锦,用于,上衣
204,阿昌族织锦,用于,筒帕
204,阿昌族织锦,用于,包头
204,阿昌族 织锦,用于,衣服
204,阿昌 族织锦,用于,裤子
204,常用 花纹样式,分为,动物 类
204,常用 花纹样式,分为,植物 类
204,常用 花纹样式,分为,器 物类
204,动物纹样,包括,狗 牙
204,动物 纹样,包括,鸡嘴
204,动物纹 样,包括,羊角
204,动物纹样,包括,鱼眼
204,动物纹样,包括,毛虫
204,动物纹样,包括,蚯蚓
204,动物纹样,包括,蚂蚱
204,植物类纹样,包括,南瓜耔
204,植物类纹样,包括,丁香花
204,植物类纹样,包括,灯笼花
204,植物类纹样,包括,竹节花
204,器物纹样,包括,长刀
204,器物纹样,包括,托盘
204,器物纹样,包括,竹筒
204,器物纹样,包括,扭棍
204,阿昌族织锦技艺,传承者,女性
204,阿昌族织 锦技艺,特点,工序 繁多
204,阿 昌族织锦技艺,特点,费时
204,阿昌族织锦产品,用途,自给自 足
204,阿 昌族织锦产品,无法 进行,商品售卖
204,很多阿昌族妇女,不愿继续,织锦
204,阿昌 族人口,少) 5 4. (阿昌族织锦 技艺,"状态, 濒临失 传"
204,阿 昌族织锦技艺,需要,加强保护
204,阿昌族织锦技艺,入选,云南省第三批 省级非物质文化遗产代表性项目名录
204,项目代表性传承 人,是,梁润 仙
205,傣族狮子 舞,类型,阳狮舞
205,傣 族狮子舞,类型,阴狮舞
205,阳狮舞,目的,喜庆祈福
205,阴狮舞,目的,丧葬祭祀
205,阴狮舞,目的,驱鬼辟邪
205,阴狮舞,目的,寄托哀思
205,傣族狮子舞,表现形式,单狮
205,傣族狮子舞,表现形式,双狮
205,傣族狮子舞,表现形式,群狮
205,傣族狮子舞,伴奏乐器,牛皮鼓
205,傣族狮子舞,伴奏乐器,铓
205,傣族狮子 舞,伴奏乐器,锣
205,傣族 狮子舞,角色配置,两人扮狮子
205,傣族狮子舞,角色 配置,一人扮驯狮者
205,驯狮 者,道具,绣球
205,驯狮 者,道具,驯狮 棒
205,驯 狮者,道具,大 刀
205,领 狮王武色,表演内容,大小红拳
205,领狮王武色,表演内容,棍棒 拳
205,领 狮王武色,表演内容,勾镰拳
205,领狮王武色,表演内容,阴枪 拳
205,领 狮王武色,表演内容,三叉拳
205,领狮王武色,技艺特征,双手持 钢刀在八仙桌上自由翻滚 腾跃
205,傣族狮子舞,文化特征,浓郁的傣族舞蹈韵 律特征
205,傣族狮子舞,文化特征,傣拳的武术套路
205,傣族狮子 舞,入选项目,云南省 第四批省级非物质文化遗产代表性项目 名录
205,傣 族狮子舞,项目代表性传承 人,封有兴
205,傣族狮子舞,传承现状,传承队伍 不断减少
205,傣族狮子舞,传承现状,能传承文化的艺人相对较少
205,傣族 狮子舞,传承现状,承担的角色单一
205,傣族狮子舞,传承 现状,只会扮狮或者只会 引狮
205,傣族狮子舞,传承现状,能表演的剧目不多
205,傣族狮子 舞,传承现状,剧目 难度不大
205,傣族狮子舞,传承现状,动作简单重复
206,镇沅黑 陶,历史 起源地,镇 沅振太的塘房 、小寨一带
206,镇沅黑陶,原料,蚂蚁巢土/当地 优质黑胶泥
206,乾隆二十八年,建立机构,镇沅府陶瓷厂
206,镇沅府陶瓷 厂,创建人,夏 白老、年宗义
206,道光年间,销售范围,上海、北京、 印度、缅甸
206,镇沅黑陶制作流程,包括 步骤,选料配辅料→ 浸入浆池搅拌→过滤→ 沉淀→脱水→练泥备用
206,拉坯工序,执行者,工艺师
206,雕刻工序,执行者,雕刻师
206,抛光工序,使用 材料,砂纸、丝绒
206,镇沅 黑陶制品类型,包含,花瓶、烟灰缸、 樽、盂
206,镇沅黑陶功能特性,可吸附气体,一氧化 碳、甲烷
206,镇沅黑陶外观特征,黑如漆、明如镜 、硬如瓷、击如磬 ) 13. (镇沅 黑陶工艺特点,集雕 、镂、剔多种工艺于一身
206,镇沅黑 陶价值属性,融艺术性 、观赏性、实用性为一体) 15. (镇沅黑陶 制作技艺,"入选名录, 云南省级非物质文化遗产代表性项目名录 扩展项目名录"
206,镇沅黑陶项目代表性传承 人,姓名,徐世 菊
207,米线节,又名,三春节
207,米线节,又名,孟、 仲、季春
207,米线节,又名,豆糠节
207,米线节,节期 至,三月下旬打糠之 季
207,米线 节,包含活动,灯 节期间放灯
207,米线节,包含活动,唱灯
207,米线节,源于,对土主的崇拜
207,米线节,源于,对祖师的崇拜
207,米线节,源于,对龙神 的崇拜
207,各村屯,形式,轮流迎神祭神
207,目的,祈求,神灵护佑来年风调 雨顺
207,目的,祈求,国泰 民安
207,节日期间主食,是,米线
207,节日特色,有,大规模 米线盛宴
207,出巡时间,从,每年正月初一开始
207,出巡主体,包括,十堂土主
207,出巡主体,包括,六堂出巡
207,出巡主体,包括,十堂祖师
207,出巡 方式,按,固定的时间 、路线、所辖范围
207,覆盖区域,为,城乡村屯
207,组织形式,是,彩仗花灯迎 神赛会
207,判定标准,神到哪 村就是哪村的节日) 23. (仪式类型,"包括 , 迎神"
207,仪式类型,包括,栖安神
207,仪式类型,包括,祭 神
207,集体 活动,举行,祭龙 活动
207,节日 依据,以...为节日,祭龙日
207,荤节特征,对应,迎土主、祭龙 过的节
207,素节特征,对应,迎祖师过的节
207,饮食禁忌,不 刑牲,素节期间
207,特殊现象,出现,一村先后过几次 节
207,特殊 现象,出现,一天之中 数村乃至数十村同时过节
207,外在形式,表现为,迎神祭 神
207,文艺 功能,实现,娱神 、娱人
207,饮食文化,以...为主 食,名目多样的米线
207,社交活动,包括,迎宾宴客
207,文化展示,包括,各种民间文艺表演
207,所属地区,属于,玉溪市 红塔区
207,文化属性,是,传统民间风俗活动
207,历史地位,具有,广泛的群众性
207,历史地位,具有,持久性
207,历史地位,具有,民间传承性
207,文化定位,是,地方标志性文化活动
207,荣誉认定,入选,云南省第三批省级非物质文化遗产 代表性项目名录
208,直苴村,所属民族,彝族罗 倮支系
208,直苴村,位于,楚雄彝 族自治州永仁县中和镇
208,保护区,拥有,原始森林区域
208,万 马河源头,所在辖区,直苴村
208,万马河,流经地区,中和乡
208,万 马河,流经地区,万马乡
208,万马河,注入河流,金沙江
208,保护区,传统建筑类型,木垛 房
208,保护区,传统建筑类型,木楞房
208,保护区,传统建筑类型,土坯房
208,学校,建筑材料,砖瓦 房
208,保护区民居,主要 材质,土墙房
208,直苴 村,流传节日,杀 猪节
208,直苴村,流传 节日,春节
208,直苴村,流传节日,端午节
208,直苴 村,流传节日,火 把节
208,直苴村,流传 节日,七月半鬼节
208,直 苴村,流传节日,新米节
208,直苴村,婚恋习俗中心,姑娘房
208,直苴村葬礼习俗,特点,古朴隆重
208,直苴村葬礼 习俗,特点,纷繁复杂
208,直苴村,婴儿取名习俗 名称,艾乃咪
208,直苴 村,举办活动,赛 装节
208,赛装节,举办 时间,每年农历正月十五
208,直 苴村,传唱史诗,《梅葛》
208,直苴村,使用乐器,五眼笛
208,直苴村,使用乐器,哔噜
208,直苴村,使用乐器,月琴
208,直苴 村,使用乐器,响 篾
208,直苴村,传统舞蹈,打跳
208,直苴村,传统舞蹈,左脚舞
208,直苴村,传统手工艺,刺绣
208,直苴村,传统手工艺,剪纸
208,直苴 村,传统手工艺,篾编
208,直苴村,传统 手工艺,木制
208,直苴 村,传统手工艺,石雕
208,直苴村,传统 手工艺,铁制
208,直苴 村,传统手工艺,羊皮褂制作
208,直苴村,民族民间体育活动,耙 田
208,直苴村,民族民间 体育活动,捆驮子
208,直 苴村,民族民间体育活动,射弩
208,直苴村,民族民间体育活动,踩 高跷
208,直苴村,民族 民间体育活动,顶肩
208,直 苴村,民族民间体育活动,拔藤拔河
208,妇女服饰,特征,缝制刺绣 的花衣服
208,男子服饰,特征,羊皮褂
208,直苴村,称号,赛装之源
208,直苴村,称号,梅葛故里
208,直苴村,称号,彝剧之乡
208,直 苴村,称号,彝 绣圣地
208,直苴村彝族传统文化 生态保护区,入选名录,云南省第四批省级非物质文化遗产代表性 项目名录
208,李兆芬,身份,项目代表性传承人
209,拈达,含义,永远幸福安宁、长 治久安
209,拈达,所属 民族,普米族
209,拈达,性质,古老的封禅式
209,拈达,祭祀 对象,本教祖师
209,拈达,目的,寄托对山川大地的 敬畏和礼赞
209,拈达,关注内容,自然生态
209,拈达,祈祷目标,命运亨通
209,拈达,实现方式,向神灵祈祷
209,拈达,祈求内容,禳灾、平安、富裕、幸福 美好人生
209,拈达,体现精神,人与人、人与自然生灵共生共 荣
209,拈 达,体现理念,包容 万物、敬畏生命、保护生态
209,拈达,彰显理念,和谐发展
209,拈达节,举行时间,每年春天
209,拈达 节,持续时间,三天
209,拈达节,道具地点,神山上 设立祭坛
209,拈达节,神柱 高度,四五米高
209,神柱顶部,结构,圆盘
209,圆盘上,绘制内容,祖师的木板 画像
209,神 柱十三节,绘制内容,吉祥图案
209,神柱四周,绘制内容,天兵天将画像
209,每一节,代表物,吉祥动物木板 画
209,祭祀 仪式过程,时长,三天
209,全村人,活动内容,到山上 转拈达神柱
209,每家户,活动 内容,在神山上种三 棵树
209,当天 起,禁令,禁止上 山砍柴、伐木
209,当天起,措施,实行封山育林
209,拈达 则封山仪式,创造背景,普米族先民迁徙 过程
209,拈 达则封山仪式,应对 挑战,特殊自然气候条件
209,拈达则 封山仪式,文化属性,独树一帜的普米 族文化
209,普米族传统祭祀仪式拈达,文化地位,传统文化精华
209,普米 族传统祭祀仪式拈达,融合文化,福文化、生态 文化
209,普 米族传统祭祀仪式拈达,体现精神,和谐精神
209,宁蒗县 牛窝子村神山,建筑设施,拈达神坛 、神柱
209,宁蒗县牛窝子村,活动内容,每年举办 拈达节
209,普米族拈达则封 山仪式,入选项目,云南省第四批省级非物质文化遗产代表性 项目名录
209,普米族拈达则封山 仪式,项目代表性传承人,偏初里
210,德昂族,别称,茶的子孙
210,德 昂族,别称,古老的茶农
210,德昂族,创世 史诗,《达古达楞格 莱标》
210,《达古达楞格莱标 》,记载内容,德 昂族是茶叶变的
210,茶,地位,德昂族的根
210,德昂族,活动,种茶
210,德昂族,活动,饮茶
210,德昂族,活动,送茶
210,茶,用途,社会交往
210,茶,用途,防病治病
210,德昂族酸 茶制作技艺,原料,当地大叶种茶
210,德昂族酸茶 制作技艺,工具,簸 箕
210,德 昂族酸茶制作技艺,工具,竹笋叶
210,德昂族酸 茶制作技艺,工具,竹筒
210,德昂族酸茶制作技艺,工具,竹筐
210,德昂族酸 茶制作技艺,工具,揉茶机
210,茶叶采摘后,处理方式,用竹制簸箕摊 开晾晒
210,晾晒要求,条件,避免阳光直射
210,晾晒目的,确保,茶叶完整
210,晾晒目的,确保,新鲜
210,晾 晒目的,确保,匀净
210,制作流程,步骤,清洗茶叶
210,制作流程,步骤,蒸茶杀青
210,蒸好的 茶,处理方式,放置 于簸箕晾至室温
210,后续操作,内容,揉茶
210,揉茶方式,包括,手工
210,揉茶方式,包括,揉茶机
210,揉捻要求,力度,适中
210,揉捻要求,时长,适中
210,揉 捻目的,避免,茶叶 破碎
210,揉 好的茶叶,处理方式,塞入竹筒或竹筐土 坑发酵
210,发酵方式,包括,竹筒 地窖发酵
210,竹筒地窖发酵操作,用竹筐压紧) 34. (竹筒地窖 发酵操作,用洗净的竹 笋叶封口
210,竹筒地窖发酵操作,用竹篾扎紧) 36. (土坑发酵方式,"操作, 将竹筒 埋入土坑口朝下"
210,土坑发酵 方式,操作,用石板 压住竹筒底部
210,土坑发酵方式,操作,盖上泥土
210,地窖发酵方式,操作,把密封好的 竹筐茶放入地窖堆放
210,地窖发酵 要求,条件,其间不能 打开确保密封
210,发酵好的酸茶,加工 为成品方式,日光干燥
210,德昂族 酸茶,分类,湿 茶
210,德 昂族酸茶,分类,干茶
210,湿茶,保存期限,在适宜条件下可保存年
210,干茶,保存特点,可长期保存
210,湿茶,食用方式,加入番茄 、食盐、花生、香油、辣椒 等佐料
210,湿茶,特点,清香
210,湿 茶,特点,微涩
210,湿茶,特点,回甘
210,湿茶,特点,健脾开胃
210,湿茶,属性,德昂族的传统 美食
210,干 茶,用途,冲饮
210,干茶饮 用效果,汤色透亮 ) 54. (干茶饮 用效果,嗅之微酸
210,干茶饮 用效果,轻柔爽口) 56. (干茶饮用 效果,既有熟茶的柔和 又具绿茶的清新
210,干茶饮用效果,回味甘甜) 58 . (干茶饮用效果,解暑生津
210,德昂族酸茶相关 制品,包括,条茶
210,德昂族 酸茶相关制品,包括,圆茶
210,德昂族酸茶相关制品,包括,片茶
210,德昂族酸茶 相关制品,包括,砖茶
210,德昂 族酸茶相关制品,包括,团茶
210,德昂族酸茶制作技艺,入选项目,云南省第四 批省级非物质文化遗产代表性项目名录
210,德昂 族酸茶制作技艺,项目 代表性传承人,杨腊三
211,石羊,古称,白井
211,石 羊,得名原因,公羊舔土蒙氏掘 地取卤得石似羊
211,石羊,凿井采盐起始时间,西汉
211,石羊,地位,云南井盐的盛产地
211,石羊,鼎盛时期,明末 清初
211,石羊,别称,千年盐都
211,庆丰井,开凿时间,西汉
211,庆丰井,现状,沿用至今仍保存 完好
211,庆丰井,构成部分,井道
211,庆丰井,构成部分,淡水井
211,庆丰 井,构成部分,卤 水井
211,制盐前,举行 仪式,祭祀仪式
211,卤水汲取 方式,包括,辘轳提 汲
211,卤水汲取方式,包括,竹筒抽汲
211,卤水汲取 方式,包括,人工背运
211,煎盐灶类型,包括,蹄形灶
211,煎盐灶类型,包括,鸡窝灶
211,制盐 步骤一,操作内容,把卤水倒入灶上的铸铁筒 子锅中用柴煮沸使水分挥发
211,制盐步骤二,操作内容,将后排锅内的浓 盐水舀入前排锅内逐渐蒸发 水分依次向前反复操作制出盐 沙
211,制盐步骤三,操作 内容,趁热在含有少量 水分时把盐沙舀入木 模中锤紧后倒出做成 盐团
211,制盐步骤四,操作内容,再用火烘烤使其 干燥坚硬便于贮存运输
211,盐团形状,特征,圆柱体头 平体圆
211,盐团重量,约重,千克
211,盐的特点,颜色,白
211,盐的特点,质地,沙粗
211,盐的特点,味道,无苦味
211,盐用途,适宜,调味
211,盐用途,适宜,制作 咸菜
211,盐用途,适宜,腌肉
211,盐水/盐汁用途,用于,做泡菜
211,盐水/盐汁用途,用于,豆瓣酱
211,盐水/盐汁 用途,用于,面酱
211,盐水/盐汁用途,用于,腌制火腿
211,传统筒子锅 制盐技艺,缺点,耗薪多
211,传统筒子锅制 盐技艺,缺点,污染 大
211,传统筒子锅制盐技艺,缺点,耗能高
211,传统筒子锅制盐技艺,状态,濒于失传
211,传统筒子锅制盐技艺,需求,亟待保护
211,石羊 筒子锅煎盐技艺,入选项目,云南省第四批省级 非物质文化遗产代表性项目名录
